DateTime,Category,Property Type,Address,Bedrooms,Bathrooms,Price,Link,Telephone,Managed,Pool,Furnished
17/05/2023 20:29:21,Buy,Condo,"341 SW 13th Ter Unit 341, Fort Lauderdale, FL 33312",2,2.5,"$430,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/341-SW-13th-Ter_Fort-Lauderdale_FL_33312_M51660-67654"",""https://www.realtor.com/realestateandhomes-detail/341-SW-13th-Ter_Fort-Lauderdale_FL_33312_M51660-67654"")",(954) 545-5583,LoKation® Real Estate,N,N
17/05/2023 20:29:23,Buy,Condo/Townhome/Coop,"5201 SW 31st Ave Apt 120, Dania Beach, FL 33312",4,2,"$445,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/5201-SW-31st-Ave-Apt-120_Fort-Lauderdale_FL_33312_M62947-16676"",""https://www.realtor.com/realestateandhomes-detail/5201-SW-31st-Ave-Apt-120_Fort-Lauderdale_FL_33312_M62947-16676"")",(954) 442-4748,Marlin Realty Inc,Y,N
17/05/2023 20:29:25,Buy,Condo,"600 W Las Olas Blvd Unit 1708S, Fort Lauderdale, FL 33312",3,2.5,"$975,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/600-W-Las-Olas-Blvd-Apt-1708_Fort-Lauderdale_FL_33312_M51646-88814"",""https://www.realtor.com/realestateandhomes-detail/600-W-Las-Olas-Blvd-Apt-1708_Fort-Lauderdale_FL_33312_M51646-88814"")",(954) 450-2000,United Realty Group Inc,N,N
17/05/2023 20:29:27,Buy,Condo,"610 W Las Olas Blvd Unit 913N, Fort Lauderdale, FL 33312",2,2,"$787,400","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-913_Fort-Lauderdale_FL_33312_M64236-83770"",""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-913_Fort-Lauderdale_FL_33312_M64236-83770"")",(954) 527-5900,Coldwell Banker Realty - Fort Lauderdale Las Olas,Y,N
17/05/2023 20:29:29,Buy,Condo,"610 W Las Olas Blvd Unit 1215N, Fort Lauderdale, FL 33312",2,2,"$600,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-1215_Fort-Lauderdale_FL_33312_M59973-33932"",""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-1215_Fort-Lauderdale_FL_33312_M59973-33932"")",(305) 809-8085,"Lifestyle International Realty, Llc",Y,N
17/05/2023 20:29:31,Buy,Condo,"610 W Las Olas Blvd Unit 1019N, Fort Lauderdale, FL 33312",2,2,"$649,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-1019_Fort-Lauderdale_FL_33312_M51219-07512"",""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-1019_Fort-Lauderdale_FL_33312_M51219-07512"")",(561) 221-2511,Casa Ott Realty,N,Y
17/05/2023 20:29:32,Buy,Condo,"2304 Anchor Ct Unit 2702, Dania Beach, FL 33312",3,2.5,"$379,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/2304-Anchor-Ct-2702_Fort-Lauderdale_FL_33312_M69296-66215"",""https://www.realtor.com/realestateandhomes-detail/2304-Anchor-Ct-2702_Fort-Lauderdale_FL_33312_M69296-66215"")",(754) 249-0378,Miami Lifestyle Realty Inc,Y,N
17/05/2023 20:29:33,Buy,Condo/Townhome/Coop,"5201 SW 31st Ave Apt 103, Dania Beach, FL 33312",3,2,"$380,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/5201-SW-31st-Ave-Apt-103_Fort-Lauderdale_FL_33312_M68002-48231"",""https://www.realtor.com/realestateandhomes-detail/5201-SW-31st-Ave-Apt-103_Fort-Lauderdale_FL_33312_M68002-48231"")",(800) 830-1196,Amerivest Realty,N,N
17/05/2023 20:29:35,Buy,Condo,"2300 Coral Reef Ct Unit 4701, Dania Beach, FL 33312",3,2.5,"$378,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/2300-Coral-Reef-Ct-4701_Fort-Lauderdale_FL_33312_M65474-09692"",""https://www.realtor.com/realestateandhomes-detail/2300-Coral-Reef-Ct-4701_Fort-Lauderdale_FL_33312_M65474-09692"")",(786) 443-3795,Sandbers Realty Group LLC,Y,N
17/05/2023 20:29:38,Buy,Condo,"610 W Las Olas Blvd Apt 921, Fort Lauderdale, FL 33312",2,2,"$580,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-921_Fort-Lauderdale_FL_33312_M51690-86195"",""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-921_Fort-Lauderdale_FL_33312_M51690-86195"")",(954) 993-1310,Global Real Estate Brokerage L,N,N
17/05/2023 20:29:39,Buy,Condo,"600 W Las Olas Blvd Unit 1601S, Fort Lauderdale, FL 33312",2,2,"$570,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/600-W-Las-Olas-Blvd-Apt-1601_Fort-Lauderdale_FL_33312_M50092-89833"",""https://www.realtor.com/realestateandhomes-detail/600-W-Las-Olas-Blvd-Apt-1601_Fort-Lauderdale_FL_33312_M50092-89833"")",(954) 545-5583,LoKation® Real Estate,N,N
17/05/2023 20:29:41,Buy,Condo,"610 W Las Olas Blvd Unit 715N, Fort Lauderdale, FL 33312",2,2,"$629,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-715_Fort-Lauderdale_FL_33312_M50058-61367"",""https://www.realtor.com/realestateandhomes-detail/610-W-Las-Olas-Blvd-Apt-715_Fort-Lauderdale_FL_33312_M50058-61367"")",,Fisher Mcclellan Real Estate,N,N
